Video,Vanishing Subject,Subject Addition/Reduction,Incongruity Fusion,Omission Error,Temporal Subject Dysmorphia,Action Inference,Unnatural Physics
Black and white photograph of someone using a computer on a bed,0,0,0,1,0,0,0
Black and white striped bathroom with a toilet sink and shower,0,0,1,0,0,0,0
Black dog laying on the floor in front of a bed,0,0,0,1,0,0,0
Black white and yellow bird sitting on the edge of a plastic cup,0,0,0,0,0,0,1
Blender on counter top in corner with paper towels and small containers,0,0,0,1,0,0,0
Blonde haired person looking through the hole of a big doughnut,0,0,0,1,0,0,0
Blue and white truck parked next to an open building,0,0,0,1,0,0,0
Blue and yellow flowers in a glass vase near a mirror,0,0,0,1,0,0,0
Blue plate of food sitting next to an IBM think pad,0,0,0,1,0,0,0
Boats are docked under a roof in a marina,0,0,0,1,0,0,0
Book shelves on a wall above a chest of drawers with coffee maker and fruit,0,0,0,1,0,0,0
Bottle of red wine and red wine in a wine goblet,0,0,0,0,0,0,1
Bowl of soup sitting on a plate at a Chinese restaurant,0,0,0,1,0,0,0
Boxes of apples fill up a table at this outside market,0,0,0,1,0,0,0
Boy holding an umberella smiling for the camera,0,0,0,0,1,0,0
Boy on bow of boat steering with a pole,0,0,0,0,1,0,0
Wall with paintings clock and an ornate painted shelf with decorations,0,0,0,1,0,0,0
We are looking at a blurry photo of a kitchen stove,0,0,1,0,0,0,0
We are looking at a chef behind a table filled with food,0,0,0,0,1,0,0
We see a line of beach chairs and umbrellas,0,0,1,0,0,0,0
well cooked pizza on a pan and chicken on a plate,0,0,0,1,0,0,0
What a boring bathroom in white white and more white,0,0,0,1,0,0,0
Wheeled luggage in the middle of a dirt road in a forest,0,0,0,1,0,0,0
Whimsical and colorful decorated cakes with tiny fruit on top,0,1,0,0,0,0,0
White clock tower with three flags on top,0,0,0,1,0,0,0
white kitchen cabinets a silver sink and stove and a light,0,0,0,1,0,0,0
White microwave over with lots of clutter on it in front of a wood panel wall,0,0,0,1,0,0,0
White teddy bears cavort about an ice cream filled refrigerator in a department store window,0,0,0,1,0,0,0
Wicker chairs and tables under umbrellas in the shade,0,0,1,0,0,0,0
Wisps of smoke on a public street at night,0,0,0,1,0,0,0
Woman being fitted into a green suitcase on bed,0,0,0,0,1,0,0
Woman expressing joy at outdoor bench near populated area,0,0,0,0,1,0,0
Woman in a jersey standing next to a large elephant,0,0,0,0,1,0,0
Woman in bridal gown standing next to groom for photo opportunity,0,0,0,0,1,0,0
Woman in glasses looks over as shes holding up a donut,0,0,0,0,1,0,0
Woman in midst of a Wii activity holding the remote and smiling,0,0,0,0,1,0,0
Woman in wedding dress pointing at donuts display,0,0,0,0,1,0,0
Woman sitting on couch using her laptop in pajamas,0,0,0,0,1,0,0
Woman skiing down a slop with her walking sticks in the air,0,0,0,1,0,0,0
woman skiing in the snow while hunched over,0,0,0,0,0,1,0
Woman standing with a lot of luggage on tile pavement,0,0,0,1,0,0,0
Woman volleying a serve in a game of tennis,0,0,0,0,1,0,0
Woman walking and talking on cellphone with people in background,0,0,0,0,1,0,0
Woman with a baseball cap is up to bat,0,0,0,0,1,0,0
Woman with a big hat sitting by some bananas while talking on the phone,0,0,0,0,1,0,0
Women are getting ready to surf on a stormy day,0,0,0,0,1,0,0
Women are playing WII video games in a big room,0,0,0,0,1,0,0
Women looking at stacks of green bananas outside of a house,0,0,0,0,1,0,0
Wood and tile walls are part of a public bathroom,0,0,0,1,0,0,0
wood panaled bathroom with sink mirror and a toilet,0,0,0,1,0,0,0
Wood planked surface with vegetable grouping greens bundle seven bell peppers a head of lettuce a head of broccoli five green peppers bok choy and radishes,0,0,0,1,0,0,0
Wooden cabinetry in a blue kitchen with white appliances,0,0,1,0,0,0,0
Woman wearing a black outfit and holding a black umbrella,1,0,0,0,0,0,0
goaly in an orange jersey blocking a net,0,0,0,0,1,0,0
two boats on the water looked at through a window,0,1,0,0,0,0,0
a sunrise over a building outside in the morning,0,0,0,1,0,0,0
A busy street with some cars driving by,0,0,0,0,0,0,1
Two men in a room playing video games,0,1,0,0,0,0,0
a room that has some furniture in it,0,0,0,1,0,0,0
A person in winter gear on skis skiing cross country,0,0,1,0,0,0,0
Two elephants are roaming in a field of grass,0,0,0,0,0,1,0
a person flying a kite on a beach with a person near by,0,0,0,0,0,0,1
There is an open flame within a pizza oven,0,1,0,0,0,0,0
A man with a skateboard jumping in the air,0,0,0,0,0,0,1
some people walking on a pier and a skateboarder,0,1,0,0,0,0,0
A woman taking a self shot at an ornate mirror and sink,0,0,0,0,1,0,0
A street sign perched above two street lights,0,1,0,0,0,0,0
The building has a clock displayed on the tower,0,1,0,0,0,0,0
A stuffed bear is sitting on a shelf with two photographs,0,1,0,0,0,0,0
Two horses are racing down a track with their jockies,0,1,0,0,0,0,0
A CHILD IS CUTTING PAPER AT THE TABLE,0,0,0,1,0,0,0
a baseball player throws a pitch to a batter,0,0,0,0,1,0,0
A glass of beer and a slice of pizza,0,0,0,0,0,0,1
Two cats who are laying down on a bed,0,0,1,0,0,0,0
A boy getting ready to hit the ball at a baseball game,0,0,0,0,1,0,0
Three horses run in front of a grassy area at the base of several mountains on a hazy day that makes the mountains appear purple,0,1,0,0,0,0,0
a male surfer in a wet suit surfing on a white board,0,0,0,0,0,0,1
An adult bear and two bear cubs wander through a field,1,0,0,0,0,0,0
A person on a snowboard on the ground,0,0,0,0,0,0,1
A man on a snow board making a jump,0,0,0,0,0,0,1
A crowd of people standing on a beach flying kites,0,1,0,0,0,0,0
A baseball player swinging at a pitched ball,0,0,0,0,1,0,0
A man rides a motorcycle down a freeway,0,1,0,0,0,0,0
Two dogs sleeping on floral design covered sofa,0,0,0,0,1,0,0
The guy looks like hes about to do something with his skateboard,0,1,0,0,0,0,0
A car driving down the street near tall buildings,0,0,1,0,0,0,0
A man is typing on his computer while a sandwich and a bottle of coke is on either side of him,0,0,0,0,0,1,0
A skier going down a steep slope on a sunny day,0,0,0,0,0,0,1
A bunch of trains side by side on tracks,0,1,0,0,0,0,0
A happy adult holding two large donuts,1,0,0,0,0,0,0
there is a baby that has made a mess on the table,1,0,0,0,0,0,0
Two female skiers helping a little girl learn to ski,0,1,0,0,0,0,0
Red sign stating to wait there when light shows,0,0,0,0,0,0,1
Snow skiiers sitting down beside a rock wall,0,0,0,0,0,1,0
Two horses graze on the grass with a background of colorful trees,0,1,0,0,0,0,0
A little girl with purple glasses holding a powdered donut,0,0,0,0,0,1,0
The bathroom has rugs on the floor near the toilet and sink,0,0,0,1,0,0,0
Two black horses two brown horses and one white horse standing in the snow,0,1,0,0,0,0,0
The banana is sitting next to the two oranges,0,1,0,0,0,0,0
a number of elephants near one another,0,0,0,0,0,0,1
A vase filled with flowers is sitting on a table with a chicken,0,0,0,1,0,0,0
Three life size sheep hiding in the tall grass,0,1,0,0,0,0,0
Three men attempt to ski down a snow covered slope,1,0,0,0,0,0,0
a girl is on the back of a fake elephant,1,0,0,0,0,0,0
Two men are playing a game of Frisbee,1,0,0,0,0,0,0
A airplane flying low in the sky,1,0,0,0,0,0,0
A baseball being hit at a baseball game,1,0,0,0,0,0,0
A baseball game going on while a player holds a bat ready,1,0,0,0,0,0,0
A baseball game with a batter and a catcher,1,0,0,0,0,0,0
A baseball hitter stands in position to hit the ball,1,0,0,0,0,0,0
A baseball pitcher named minor is tossing a pitch on the diamond,1,0,0,0,0,0,0
A baseball player about to make a run for it,1,0,0,0,0,0,0
A baseball player at home plate swings at a pitch,1,0,0,0,0,0,0
A baseball player breaking hit bat after hitting the ball,1,0,0,0,0,0,0
A baseball player holding a baseball bat on a baseball field,1,0,0,0,0,0,0
a baseball player in a batters box getting ready to swing a bat,1,0,0,0,0,0,0
A baseball player is about to bat and play some game,1,0,0,0,0,0,0
a baseball player is holding up a bat,1,0,0,0,0,0,0
a baseball player is swinging a bat and some people watching,1,0,0,0,0,0,0
a baseball player swinging for a ball at home plate,1,0,0,0,0,0,0
A scope view of a man doing a trick on a skateboard,1,0,0,0,0,0,0
A red sixteen wheeler carrying inventory on a main street,1,0,0,0,0,0,0
Back of boy after throwing frisbee to girl across the yard,1,0,0,0,0,0,0
Birds in the sky and on a bar in an alleyway,1,0,0,0,0,0,0
Black and white photograph of a man in a striped shirt at a zebra crossing,1,0,0,0,0,0,0
Black and white photograph of hands on a keyboard,1,0,0,0,0,0,0
Blurry action scene of a woman walking on a street with an umbrella,1,0,0,0,0,0,0
Boy jumping off a ramp with a skate board,1,0,0,0,0,0,0
Woman biking down a street in front of a bus,1,0,0,0,0,0,0
Woman in green shirt riding on the back of a skateboard,1,0,0,0,0,0,0
Woman standing beneath road sign on post in city,1,0,0,0,0,0,0
Woman tennis player jumping with tennis racket to save ball,1,0,0,0,0,0,0
Wooden kitchen cabinets and drawers with stainless steel top,1,0,0,0,0,0,0
A tennis player is in air while extending his arm up to return the ball,1,0,0,0,0,0,0
A man making himself dizzy on a baseball bat,1,0,0,0,0,0,0
Food and beer near a laptop on a desk,1,0,0,0,0,0,0
A man in green shirt in dirt area flying a kite,1,0,0,0,0,0,0
PEOPLE CELEBRATING WITH CHOCOLATE CAKE AND WINE,1,0,0,0,0,0,0
A boy is smiling and biting into a big piece of pizza,1,0,0,0,0,0,0
a plane flying low as it gets ready to land,1,0,0,0,0,0,0
this is an image of two people flying a kite in the snow,1,0,0,0,0,0,0
She is not sure if she likes eating the pizza,0,0,1,0,0,0,0
The cat is standing on a black backpack,0,0,1,0,0,0,0
Two men on skateboards hold poles as they are on a road,0,0,1,0,0,0,0
A woman touches a captive giraffe in a zoo enclosure,0,0,1,0,0,0,0
Two people riding on the back of a red motorcycle and city,0,0,1,0,0,0,0
Two horses are being fed by people eating at a table,0,0,1,0,0,0,0
Tw people ride horses with trees in the background,0,0,1,0,0,0,0
Three men standing on the street eating sandwiches,0,0,1,0,0,0,0
Three guys are standing on a beach next to surfboards,0,0,1,0,0,0,0
This is a wide angle shot of a skateboarder in mid air at a skateboard deck,0,0,1,0,0,0,0
This clock has a star and letters on it,0,0,1,0,0,0,0
The train is running on one of the tracks,0,0,1,0,0,0,0
The man is riding along with his dog in the passenger seat,0,0,1,0,0,0,0
Swimmers and coaches face each other across a pool,0,0,1,0,0,0,0
A 4 Way Stop sign on the corner of S 2nd Street and S 5th Ave in front of the Ceresota building,0,0,1,0,0,0,0
a animal that is walking in a crowd of people,0,0,1,0,0,0,0
A baby elephant statue on a tree-lined sidewalk,0,0,1,0,0,0,0
A baby in white shirt at table with food in the foreground,0,0,1,0,0,0,0
A baby inside of a tub with some toys,0,0,1,0,0,0,0
A baby sheep nurses from its mother out in the field,0,0,1,0,0,0,0
A baby standing in a suit case with a woman hold the babies hands,0,0,1,0,0,0,0
A baseball player hitting a ball and the emperor behind him,0,0,1,0,0,0,0
A baseball player holding a baseball bat off the field,0,0,1,0,0,0,0
a baseball player holding up a bat at home plate,0,0,1,0,0,0,0
A red train caboose on tracks next to power lines,0,0,1,0,0,0,0
A girl making a finger gun while brushing her teeth,0,0,1,0,0,0,0
A woman is putting her bike on the bus,0,0,1,0,0,0,0
Tennis players on the court as crowd watches,0,0,1,0,0,0,0
Traffic lights on a street glowing in a night sky,0,0,1,0,0,0,0
Baked pizza with meats and vegetables displayed on table,0,0,1,0,0,0,0
Bananas hanging above bins of fruits and vegetables,0,0,1,0,0,0,0
Baseball players warming up at a baseball game with people looking on,0,0,1,0,0,0,0
Baseball team posing with bats at home plate,0,0,1,0,0,0,0
bedroom with computer workstation and view of bridge,0,0,1,0,0,0,0
Benches at a train station with a waiting train,0,0,1,0,0,0,0
Bike parked in front of a glass door and windows colorfully decorated,0,0,1,0,0,0,0
Birds and windsurfers on a beach on a windy day,0,0,1,0,0,0,0
Birds are flocked on a rocky area by a body of water,0,0,1,0,0,0,0
Black and white image of a man and child with a kite,0,0,1,0,0,0,0
black and white kites flying so high with strings,0,0,1,0,0,0,0
Black and white photo of a jail cell with toilet and sink,0,0,1,0,0,0,0
Black and white photograph of a man using a cell phone on the street,0,0,1,0,0,0,0
Black and white photograph of a woman holding three apples,0,0,1,0,0,0,0
black and white picture of baseball players playing baseball on a field,0,0,1,0,0,0,0
blue and white passenger jet as viewed from below,0,0,1,0,0,0,0
Blue delivery truck being driven by man down street,0,0,1,0,0,0,0
Blue train engine at station near lamp post,0,0,1,0,0,0,0
Boats on the water with mountains in the background,0,0,1,0,0,0,0
Books are sitting in a room with a laptop windows and television,0,0,1,0,0,0,0
Boy is in the middle of landing a kickflip,0,0,1,0,0,0,0
Waffle fries and turkey bacon avocado and cheese tortilla wraps sitting on a plate,0,0,1,0,0,0,0
We are looking at an artistic photo of a man in a suit and tie,0,0,1,0,0,0,0
Wild animals standing on a dirt field next to a forest,0,0,1,0,0,0,0
Wildebeest and zebras are lying in the grass,0,0,1,0,0,0,0
Winners circle with two men holding flowers and one being given a bunch of bananas,0,0,1,0,0,0,0
woman in bra and cowboy boots lays on the floor of a bathroom,0,0,1,0,0,0,0
Woman in red jacket playing with her two black and white dogs,0,0,1,0,0,0,0
Woman laying on a floor with a dog and a cat watching her,0,0,1,0,0,0,0
Woman lays her head on another womans lap on a park bench,0,0,1,0,0,0,0
WOMAN LOOKING INTO BABIES MOUTH IN A BATHROOM,0,0,1,0,0,0,0
Group of bicyclists on a flat wet road,0,0,1,0,0,0,0
A view of an air plane jet liner through a window,0,0,1,0,0,0,0
A woman holding a pair of scissors near her hair,0,0,1,0,0,0,0
A woman sitting Indian Style while trying to tie a tie,0,0,1,0,0,0,0
Two tennis players being good sports and shaking hands,0,0,1,0,0,0,0
A man in a baseball uniform hitting a ball with a bat,0,0,0,0,0,0,1
A frisbee player throws the frisbee across the grass,0,0,0,0,0,0,1
Boaters are in the river floating along the stream,0,0,0,0,0,0,1
Pigeons gather to eat pizza on the sidewalk,0,0,0,0,0,0,1
A red train is slowly loosing its color,0,0,0,0,0,0,1
Three men on a field jumping up for a Frisbee,0,0,0,0,0,0,1
THIS IS A PHOTO OF A GUY PRACTICING AT THE SKATE PARK,0,0,0,0,0,0,1
THERE IS A MLB BASEBALL GAME THAT IS GOING ON,0,0,0,0,0,0,1
There is a bird that is sitting on the dock,0,0,0,0,0,0,1
The skateboarder with a hat has his tongue lolling out,0,0,0,0,0,0,1
Someone sitting at a laptop eating ice cream,0,0,0,0,0,0,1
2 men on a court play a game of tennis,0,0,0,0,0,0,1
3 people smile in the airport amongst a crowd,0,0,0,0,0,0,1
7 jars full of grain with rotten bananas hanging over them,0,0,0,0,0,0,1
A baby giraffe gets milk from its mother,0,0,0,0,0,0,1
A banana and some round fruit on a surface,0,0,0,0,0,0,1
A baseball palyer running toward first base to beat the throw,0,0,0,0,0,0,1
